plot,plot_surf,crop_2018,crop_2019,crop_2020,rotation,frac_mean,apar_year,rapar
6817029,2.14,BTH,BTH,ORH,BTH_BTH_ORH,0.3863868080624272,826.5572390055394,0.41832338438942523
6817031,3.29,BTH,ORH,MIS,BTH_ORH_MIS,0.31453310419301084,741.3290020931701,0.3751890885073621
6817063,1.54,PTR,LUZ,LUZ,PTR_LUZ_LUZ,0.4608549225164802,971.9835402772659,0.48750784599493346
6817077,0.56,LU8,LUZ,LUZ,LU8_LUZ_LUZ,0.557579975154287,1158.4962918527292,0.5817224539090069
6817083,2.17,BTH,BTH,PTR,BTH_BTH_PTR,0.450699926764269,872.9542477964244,0.4257425144280883
6817084,4.21,SRS,PTR,PTR,SRS_PTR_PTR,0.676625656717026,1446.4678493078488,0.7054468899810251
6817086,3.92,BTH,BTH,PTR,BTH_BTH_PTR,0.4007521403473126,802.200251572453,0.39123556937997417
6817126,0.42,TTH,TTH,TTH,TTH_TTH_TTH,0.2902779758689812,642.9706866479625,0.3138851755643225
6817159,0.67,LU8,LUZ,LUZ,LU8_LUZ_LUZ,0.3546059624086415,725.8675714344788,0.3644840884147726
6817161,1.3,TRN,BTH,BTH,TRN_BTH_BTH,0.2531996110629917,591.9201120288233,0.2972242746990802
6817264,1.96,BTH,BTH,ORH,BTH_BTH_ORH,0.2596818302967508,618.9630340296517,0.31193365388272515
6817269,2.66,BTH,BTH,ORH,BTH_BTH_ORH,0.3426942803171654,805.1006622858912,0.40573988675098993
6817270,1.64,MIS,BTH,BTH,MIS_BTH_BTH,0.30421495212034894,831.5404843524809,0.4181076226706213
6817271,0.99,BTH,BTH,ORH,BTH_BTH_ORH,0.3260427647222829,771.3592404548996,0.38873550293437037
6817290,1.35,BTH,MIS,TRN,BTH_MIS_TRN,0.2676405135621141,633.9342074662923,0.31874903194847093
6817293,1.02,BTH,MIS,BTH,BTH_MIS_BTH,0.30521271163428504,762.9679044538732,0.38450659109981894
6817312,0.63,LU8,LUZ,LUZ,LU8_LUZ_LUZ,0.5149175256271793,1043.9492461623292,0.5242042823139291
6817317,1.05,LU7,LUZ,LUZ,LU7_LUZ_LUZ,0.6915480798176774,1271.0520738022253,0.6382407407069689
6817318,0.5,ORH,PTR,RGA,ORH_PTR_RGA,0.2243159146949853,480.1403263781569,0.24109564341780323
