date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year,com,radiation,min_ndvi,max_ndvi,scaled_ndvi,frac,par,apar,rotation,gp
2020-06-19,901,6787103,0.2641380876674994,0.33,MIS,MIS,MIS,MIS,2020,63195,16486731.465608705,0.1581965907280548,0.8487464036169339,0.15341615472494863,0.02353651653058938,7913631.103492178,186259.3092843299,MIS_MIS_MIS,top
2020-06-19,901,6801438,0.2109499826380161,1.2,MIS,MIS,MIS,MIS,2020,63149,16769713.470226552,0.05225541919217437,0.679742152516227,0.25290504964969057,0.06396096413831245,8049462.465708745,514851.38010188914,MIS_MIS_MIS,low
2020-06-19,901,6815364,0.2694628688531109,6.66,MIS,MIS,MIS,MIS,2020,63444,16728187.116139457,0.11633484928319594,0.8640873567770765,0.2047843611827248,0.04193663458501667,8029529.815746939,336731.45777247567,MIS_MIS_MIS,low
2020-06-19,901,6819224,0.2678814762868486,1.78,MIS,MIS,MIS,MIS,2020,63366,16691167.10152247,0.10322638241291604,0.75,0.2545791748405118,0.06481055626247587,8011760.208730785,519246.6357694119,MIS_MIS_MIS,top
2020-06-19,901,6838703,0.1453047221815631,1.33,MIS,MIS,MIS,MIS,2020,63194,16777785.23714606,0.15,0.7526723339348179,-0.00779076382647542,6.069600099991807e-5,8053336.913830109,488.8053453745094,MIS_MIS_MIS,low
2020-06-19,901,6841153,0.355607677062762,3.36,MIS,MIS,MIS,MIS,2020,63138,16594630.2675132,0.18184657615101008,0.75,0.3058348214019318,0.09353493798195152,7965422.528406336,745045.3021945261,MIS_MIS_MIS,top
2020-06-19,901,6851622,0.28991476232451985,0.58,MIS,MIS,MIS,MIS,2020,63455,16940695.028769895,0.27396412680756393,0.7400515569439244,0.03422241083027991,0.00117117340303645,8131533.613809549,9523.43589439069,MIS_MIS_MIS,top
2020-06-19,901,6857720,0.19656447428363513,5.45,MIS,MIS,MIS,MIS,2020,63149,16769713.470226552,0.05515684448253138,0.7837335879847629,0.19408748777975593,0.03766995291265691,8049462.465708745,303222.8720554476,MIS_MIS_MIS,low
2020-06-19,901,13282854,0.13104408733072417,14.48,MIS,MIS,MIS,MIS,2020,63327,17028468,0.15,0.72812692995962,-0.03278849624009008,0.0010750854856864,8173664.64,8787.388219332164,MIS_MIS_MIS,low
2020-06-19,901,13291807,0.23963366891194132,4.52,MIS,MIS,MIS,MIS,2020,63151,16407848.29700762,0.19443403751167376,0.8755654353370409,0.06635963566585742,0.00440360124570533,7875767.182563658,34681.73817602254,MIS_MIS_MIS,top
2020-06-20,902,6787103,0.2641380876674994,0.33,MIS,MIS,MIS,MIS,2020,63195,15142213.500573969,0.1581965907280548,0.8487464036169339,0.15341615472494863,0.02353651653058938,7268262.480275504,171069.58001566696,MIS_MIS_MIS,top
2020-06-20,902,6801438,0.2109499826380161,1.2,MIS,MIS,MIS,MIS,2020,63149,15159010.510179725,0.05225541919217437,0.679742152516227,0.25290504964969057,0.06396096413831245,7276325.044886268,465400.76525467535,MIS_MIS_MIS,low
2020-06-20,902,6815364,0.2694628688531109,6.66,MIS,MIS,MIS,MIS,2020,63444,15794852.982023692,0.11633484928319594,0.8640873567770765,0.2047843611827248,0.04193663458501667,7581529.431371372,317943.8293589705,MIS_MIS_MIS,low
2020-06-20,902,6819224,0.2678814762868486,1.78,MIS,MIS,MIS,MIS,2020,63366,15908417.80107695,0.10322638241291604,0.75,0.2545791748405118,0.06481055626247587,7636040.544516936,494896.0353329617,MIS_MIS_MIS,top
2020-06-20,902,6838703,0.1453047221815631,1.33,MIS,MIS,MIS,MIS,2020,63194,15284797.312930292,0.15,0.7526723339348179,-0.00779076382647542,6.069600099991807e-5,7336702.710206539,445.3085150347977,MIS_MIS_MIS,low
2020-06-20,902,6841153,0.355607677062762,3.36,MIS,MIS,MIS,MIS,2020,63138,15206202.265455049,0.18184657615101008,0.75,0.3058348214019318,0.09353493798195152,7298977.087418423,682709.3692033673,MIS_MIS_MIS,top
2020-06-20,902,6851622,0.28991476232451985,0.58,MIS,MIS,MIS,MIS,2020,63455,15434583.356631769,0.27396412680756393,0.7400515569439244,0.03422241083027991,0.00117117340303645,7408600.011183249,8676.755286833439,MIS_MIS_MIS,top
2020-06-20,902,6857720,0.19656447428363513,5.45,MIS,MIS,MIS,MIS,2020,63149,15159010.510179725,0.05515684448253138,0.7837335879847629,0.19408748777975593,0.03766995291265691,7276325.044886268,274098.82181805186,MIS_MIS_MIS,low
2020-06-20,902,13282854,0.13104408733072417,14.48,MIS,MIS,MIS,MIS,2020,63327,15336166,0.15,0.72812692995962,-0.03278849624009008,0.0010750854856864,7361359.68,7914.090946885092,MIS_MIS_MIS,low
2020-06-20,902,13291807,0.23963366891194132,4.52,MIS,MIS,MIS,MIS,2020,63151,15321588.889021592,0.19443403751167376,0.8755654353370409,0.06635963566585742,0.00440360124570533,7354362.666730364,32385.680600582655,MIS_MIS_MIS,top
2020-06-21,903,6787103,0.6654848800834202,0.33,MIS,MIS,MIS,MIS,2020,63195,17994856.791923508,0.1581965907280548,0.8487464036169339,0.7346150558395655,0.539659280266168,8637531.260123283,4661323.903114658,MIS_MIS_MIS,top
2020-06-21,903,6801438,0.2768404245076606,1.2,MIS,MIS,MIS,MIS,2020,63149,17789882.30286076,0.05225541919217437,0.679742152516227,0.3579119579560958,0.1281009696479661,8539143.505373165,1093872.5630014348,MIS_MIS_MIS,low
2020-06-21,903,6815364,0.5563906748754208,6.66,MIS,MIS,MIS,MIS,2020,63444,19911440.35927848,0.11633484928319594,0.8640873567770765,0.5885046471687375,0.34633771973920024,9557491.372453673,3310119.7683626837,MIS_MIS_MIS,low
2020-06-21,903,6819224,0.2648365644661431,1.78,MIS,MIS,MIS,MIS,2020,63366,20005124.580547422,0.10322638241291604,0.75,0.2498713269352971,0.06243568002440613,9602459.798662763,599536.1074365316,MIS_MIS_MIS,top
2020-06-21,903,6838703,0.30455017173212884,1.33,MIS,MIS,MIS,MIS,2020,63194,18283866.052652977,0.15,0.7526723339348179,0.2564414575380927,0.06576222114426142,8776255.705273429,577146.0685087772,MIS_MIS_MIS,low
2020-06-21,903,6841153,0.3050288904058127,3.36,MIS,MIS,MIS,MIS,2020,63138,17558345.67606962,0.18184657615101008,0.75,0.2168117080423393,0.04700731674423656,8428005.924513418,396177.94401590456,MIS_MIS_MIS,top
