date,day_num,plot,ndvi,SURF_PARC,CODE_CULTU_2018,CODE_CULTU_2019,CODE_CULTU_2020,crop,year
2020-01-08,738,6843271,0.5256279474519215,5.6,BTH,LIH,BTH,BTH,2020
2020-02-24,785,10903283,0.6808923244666608,4.71,BDH,MIS,BTH,BTH,2020
2020-05-30,881,6755329,0.5867829402002621,3.88,CZH,BTH,BTH,BTH,2020
2020-05-31,882,13285828,0.7123339192137627,2.14,BTH,SOJ,BTH,BTH,2020
2020-10-10,1014,13276461,0.2087063324024609,1.36,BTH,TRN,BTH,BTH,2020
2020-03-23,813,13275649,0.5786754300756153,1.41,ORP,SOG,BTH,BTH,2020
2020-12-23,1088,6884074,0.22168639734932577,1.42,BTH,BTH,BTH,BTH,2020
2020-03-18,808,6817594,0.6718179256842902,3.43,BTH,MIS,BTH,BTH,2020
2020-07-01,913,6837452,0.7727446846433245,0.79,TR8,TRE,BTH,BTH,2020
2020-07-22,934,6819788,0.12331483663493883,4.38,BTH,TRN,BTH,BTH,2020
2020-09-15,989,6752210,0.12217799966560512,4.13,BTH,ORH,BTH,BTH,2020
2020-01-13,743,6862827,0.35367664157581763,2.69,ORH,MIS,BTH,BTH,2020
2020-04-03,824,6819161,0.808055060244899,0.63,BTH,TRN,BTH,BTH,2020
2020-12-08,1073,10903283,0.24973474972320783,4.71,BDH,MIS,BTH,BTH,2020
2020-11-23,1058,10895340,0.1781011781011781,0.42,LEC,BTH,BTH,BTH,2020
2020-03-29,819,6783809,0.8435537405259,1.23,MIS,MIS,BTH,BTH,2020
2020-04-24,845,6841152,0.7955246443510395,2.96,BTH,MIS,BTH,BTH,2020
2020-05-23,874,10908082,0.8925472552195297,2.62,BTH,TRN,BTH,BTH,2020
2020-01-05,735,10889825,0.370112265731598,0.85,PTR,PTR,BTH,BTH,2020
2020-11-29,1064,6861511,0.3777573298856666,2.23,CZH,BTH,BTH,BTH,2020
2020-04-16,837,13284960,0.784661573290372,1.5,BTH,TRN,BTH,BTH,2020
2020-02-05,766,6834295,0.2723100855630338,1.41,ORH,TRN,BTH,BTH,2020
2020-01-05,735,6794513,0.17033009439509705,2.15,TRN,BTH,BTH,BTH,2020
2020-08-04,947,6769479,0.21881964784260968,1.47,BTH,TRN,BTH,BTH,2020
2020-11-14,1049,6856464,0.2220608390866476,1.18,MIS,MIS,BTH,BTH,2020
2020-02-09,770,6862741,0.4403351859839225,1.74,TRN,BTH,BTH,BTH,2020
2020-03-08,798,6893673,0.2598263597687119,1.81,TR7,SOG,BTH,BTH,2020
2020-10-08,1012,6875823,0.3724410993456777,0.92,BTH,MIS,BTH,BTH,2020
2020-07-05,917,6798419,0.33252007698307284,2.85,LIH,BTH,BTH,BTH,2020
2020-10-26,1030,10894343,0.366024507156634,1.42,BTH,MIE,BTH,BTH,2020
2020-03-11,801,6877182,0.5910215425192101,5.34,CZH,BTH,BTH,BTH,2020
2020-09-05,979,6786032,0.3967373709219683,2.26,LEC,BTH,BTH,BTH,2020
2020-01-26,756,6851470,0.7876319279854372,1.15,SOG,BTH,BTH,BTH,2020
2020-04-12,833,6854662,0.7293124663040615,2.26,MLG,MLG,BTH,BTH,2020
2020-01-24,754,6808431,0.3629835892460273,2.81,BTH,MIE,BTH,BTH,2020
2020-12-01,1066,6776356,0.19656390581727756,1.69,BTH,TRN,BTH,BTH,2020
2020-08-11,954,6861926,0.23168980535540584,0.76,MIS,MIS,BTH,BTH,2020
2020-12-30,1095,6777177,0.19784178653196996,2.6,BTH,MIS,BTH,BTH,2020
2020-02-22,783,6889211,0.5859953318216723,1.67,BTH,TRN,BTH,BTH,2020
2020-07-10,922,6827814,0.4576492745414312,1.24,BTH,SOG,BTH,BTH,2020
2020-12-03,1068,10907375,0.6553562877297642,0.73,BTH,TRN,BTH,BTH,2020
2020-01-28,758,13276043,0.40949830031111817,3.43,BTH,TRN,BTH,BTH,2020
2020-06-30,912,6763521,0.30208897107727145,1.09,BTH,PHI,BTH,BTH,2020
2020-09-23,997,10900951,0.4615993287213665,4.12,BTH,MIS,BTH,BTH,2020
2020-03-22,812,6873160,0.7978816916639424,2.42,MIS,BTH,BTH,BTH,2020
2020-02-16,777,6856203,0.24011627646707012,1.94,TRN,BTH,BTH,BTH,2020
2020-10-31,1035,10892450,0.33855155767736034,3.6,ORH,PPR,BTH,BTH,2020
2020-11-27,1062,6889414,0.14630829085751895,4.22,TRN,BTH,BTH,BTH,2020
2020-11-18,1053,6789384,0.18032313906999195,2.94,ORH,TRN,BTH,BTH,2020
2020-03-26,816,6844497,0.8128237365620806,0.7,BTH,MIS,BTH,BTH,2020
2020-07-14,926,6873720,0.2894370957096854,0.44,BTH,BTH,BTH,BTH,2020
